
TimeEdit,Chalmers
"TIG015GU, Informationsteknologi och informationssystem",2016-08-29 - 2017-01-15 v 35-2,
Startdatum,Starttid,Slutdatum,Sluttid,Kurskod,Kursnamn,Lokal,Typ,Egen text,Bokningskommentar,Personal,Klass,Undergrupp 
2016-08-29,09:15,2016-08-29,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,Introduktion,"Introduktion. BIS Kap 1, 2 och 6",Kalevi Pessi,N1SYS-1-GU,
2016-08-30,10:15,2016-08-30,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Dator och OS- introduktion,Henrik Sandklef,N1SYS-1-GU,
2016-08-30,13:00,2016-08-30,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Handledning,,Handledning Programmering/ Inlämningsuppgift 1 ut,Henrik Sandklef,N1SYS-1-GU,
2016-08-31,10:00,2016-08-31,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,BIS Kap 3 – Halva,Lennart Petersson,N1SYS-1-GU,
2016-09-01,09:15,2016-09-01,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,"BIS Kap 9, Styrkort",Kjell Engberg,N1SYS-1-GU,
2016-09-02,10:15,2016-09-02,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Programmeringsgrunder,Henrik Sandklef,N1SYS-1-GU,
2016-09-02,13:00,2016-09-02,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-09-05,10:15,2016-09-05,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,"Typer, variabler och uttryck",Henrik Sandklef,N1SYS-1-GU,
2016-09-05,13:00,2016-09-05,15:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,Projektstart,Projektstart,"Aida Hadzic,Kalevi Pessi",N1SYS-1-GU,
2016-09-06,09:15,2016-09-06,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Projekt/PPS – Metoden?,,N1SYS-1-GU,
2016-09-06,13:00,2016-09-06,15:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,"BIS Kap 7, KEkomp",Kjell Engberg,N1SYS-1-GU,
2016-09-07,10:00,2016-09-07,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,BIS Kap 3 – resten av,Lennart Petersson,N1SYS-1-GU,
2016-09-08,10:15,2016-09-08,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,BIS Kap 8 & 10,Aida Hadzic,N1SYS-1-GU,
2016-09-08,13:00,2016-09-08,15:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Referera och citera,Anna-Lena Fredriksson,N1SYS-1-GU,
2016-09-09,10:15,2016-09-09,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,"Block, if, for, while och metoder",Henrik Sandklef,N1SYS-1-GU,
2016-09-09,13:00,2016-09-09,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Handledning,,Handledning Programmering,Henrik Sandklef,N1SYS-1-GU,
2016-09-12,10:15,2016-09-12,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Mer om metoder,Henrik Sandklef,N1SYS-1-GU,
2016-09-12,13:00,2016-09-12,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Handledning,,Handledning Programmering/ Inlämningsuppgift 2 ut,Henrik Sandklef,N1SYS-1-GU,
2016-09-12,23:45,2016-09-13,00:00,TIG015GU,Informationsteknologi och informationssystem,,Inlämning,Inlämningsuppgift 1 i GUL,Inlämningsuppgift 1 i GUL senast 23:59,,N1SYS-1-GU,
2016-09-13,13:00,2016-09-13,15:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,"Muntlig presentationsteknik, Walla",Anna-Lena Fredriksson,N1SYS-1-GU,
2016-09-14,08:15,2016-09-14,10:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,BIS Kap 5,Lennart Petersson,N1SYS-1-GU,
2016-09-14,13:00,2016-09-14,16:00,TIG015GU,Informationsteknologi och informationssystem,Torg 3,Handledning,,,Henrik Sandklef,N1SYS-1-GU,
2016-09-14,13:00,2016-09-14,17:00,TIG015GU,Informationsteknologi och informationssystem,,Handledning,Aidas kontor,Handledning Projekt på Aidas kontor,Aida Hadzic,N1SYS-1-GU,
2016-09-15,10:15,2016-09-15,12:00,TIG015GU,Informationsteknologi och informationssystem,Torg Grön,Föreläsning,,Genomgång Projektrapport,Aida Hadzic,N1SYS-1-GU,
2016-09-15,13:00,2016-09-15,17:00,TIG015GU,Informationsteknologi och informationssystem,,Handledning,Aidas kontor,Handledning Projekt på Aidas kontor,Aida Hadzic,N1SYS-1-GU,
