
TimeEdit,Göteborgs universitet
"TIG015, Informationsteknologi och informationssystem, DAG, H18, ORD, NML, GÖTEBORG",2018-09-03 - 2019-01-20 v 36-3,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2018-09-03,09:15,2018-09-03,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Kalevi Pessi,"Föreläsning, Introduktion",,,,"Introduktion. BIS Kap 1, 2 och 6",
2018-09-04,10:15,2018-09-04,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,Dator och OS- introduktion,
2018-09-04,13:00,2018-09-04,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,Handledning Programmering,,,,
2018-09-06,10:15,2018-09-06,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Kalevi Pessi,Föreläsning,,,,"Projektstyrning, BIS Kap 9, Styrkort",
2018-09-06,13:00,2018-09-06,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),,"Självstudier, Övning",Programmering,,,,
2018-09-07,10:15,2018-09-07,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,Programmeringsgrunder,
2018-09-10,10:15,2018-09-10,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,"Typer, variabler och uttryck",
2018-09-10,13:00,2018-09-10,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Kalevi Pessi,Projektarbete,Projektstart,,,Projektstart,
2018-09-11,13:00,2018-09-11,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),,Föreläsning,Gästföreläsning Tieto,"Lärare Carina Örtenberg, Tieto",,Projekt/PPS – Metoden,
2018-09-12,09:00,2018-09-12,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),,"Självstudier, Övning",Programmering,,,,
2018-09-13,10:15,2018-09-13,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Kalevi Pessi,"Föreläsning, Övning",,,,BIS Kap 8 & 10 + Övning,
2018-09-13,13:00,2018-09-13,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Anna-Lena Fredriksson,Föreläsning,,,,Introduktion till rapportskrivning,
2018-09-14,10:15,2018-09-14,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,"Block, if, for, while och metoder",
