
TimeEdit,Göteborgs universitet
"TIG059, Systemutvecklingsprojekt, DAG, V18, ORD, NML, GÖTEBORG",2018-03-26 - 2018-06-17 v 13-24,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2018-03-26,10:00,2018-03-26,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Anna-Lena Fredriksson, Juho Lindman",Introduktion,,,,,
2018-03-26,13:00,2018-03-26,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Juho Lindman,Föreläsning,,,,,
2018-03-28,10:00,2018-03-28,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Juho Lindman,Föreläsning,,,,,
2018-04-03,10:00,2018-04-03,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Anna-Lena Fredriksson,Föreläsning,,,,,
2018-04-03,13:00,2018-04-03,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Juho Lindman,Föreläsning,,,,,
2018-04-03,14:45,2018-04-03,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,,Inlämning,GUL,Inlämning av projektansvarskort i GUL senast 15.00,,,
2018-04-06,10:00,2018-04-06,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,Juho Lindman,Redovisning,Juhos kontor,"Projektledare redovisar projektets målformulering, dess uppdelning i delmål samt planering och organisering på övergripande nivå (Juhos kontor)",,,
2018-04-06,13:00,2018-04-06,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Juho Lindman,Handledning,,,,,
2018-04-10,13:00,2018-04-10,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),,Föreläsning,Gästföreläsning,Gästföreläsning Fredrik Wendt SCRUM,,,
2018-04-16,13:00,2018-04-16,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Juho Lindman,Handledning,,,,,
2018-04-18,10:00,2018-04-18,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,Juho Lindman,Redovisning,Juhos kontor,Projektledare redovisar uppföljning av senast klara delmål samt gällande planering och organisering (Juhos kontor),,,
2018-04-19,09:00,2018-04-19,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandgren, Rikard Fröberg",Grupparbete,,Groups (G1-G8),,,
2018-04-20,09:00,2018-04-20,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandgren, Rikard Fröberg",Grupparbete,,Groups (G09-G16),,,
2018-04-24,10:00,2018-04-24,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Juho Lindman,Handledning,,,,,
2018-04-25,13:00,2018-04-25,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Anna-Lena Fredriksson,Föreläsning,,,,,
2018-04-27,09:00,2018-04-27,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandgren, Rikard Fröberg",Grupparbete,,Groups (G1-G8),,,
2018-05-02,10:00,2018-05-02,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,Juho Lindman,Redovisning,Juhos kontor,Projektledare redovisar uppföljning av senast klara delmål samt gällande planering och organisering (Juhos kontor),,,
2018-05-03,13:00,2018-05-03,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Juho Lindman,Handledning,,,,,
2018-05-04,09:00,2018-05-04,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandgren, Rikard Fröberg",Grupparbete,,Groups (G09-G16),,,
2018-05-07,16:45,2018-05-07,17:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,,Inlämning,GUL,17.00 Senast inlämning i GUL inför rapportseminarium,,,
2018-05-08,08:30,2018-05-08,10:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Anna-Lena Fredriksson,Handledning,,,,,
2018-05-09,08:30,2018-05-09,10:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Anna-Lena Fredriksson,Handledning,,,,,
2018-05-09,10:00,2018-05-09,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,"Erik Stemme (339B), Torg Grön (405)",Anna-Lena Fredriksson,Seminarium,,Rapport-seminarium Obligatorisk uppgift,,,
2018-05-14,10:00,2018-05-14,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Juho Lindman,Handledning,,,,,
2018-05-14,16:45,2018-05-14,17:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,,Inlämning,GUL,17.00 Senast inlämning uppsats i GUL,,,
2018-05-15,10:00,2018-05-15,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,Juho Lindman,Redovisning,Juhos kontor,Projektledare redovisar uppföljning av senast klara delmål samt gällande planering och organisering (Juhos kontor),,,
2018-05-15,13:15,2018-05-15,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandgren, Rikard Fröberg",Grupparbete,,Groups (G1-G8),,,
