Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Undervisningstyp,Lokal,Lärare,Klass,Egen text,Undergrupp,Kurs 
2015-08-31,09:15,2015-08-31,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Kalevi Pessi,N1SYS-1-GU,Introduktion.,,Informationsteknologi och informationssystem
2015-09-01,10:15,2015-09-01,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Dator och OS- Introduktion,,Informationsteknologi och informationssystem
2015-09-01,13:00,2015-09-01,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning Programmering,,Informationsteknologi och informationssystem
2015-09-02,09:15,2015-09-02,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Kjell Engberg,N1SYS-1-GU,Styrkort,,Informationsteknologi och informationssystem
2015-09-03,10:15,2015-09-03,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Lennart Petersson,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-04,10:15,2015-09-04,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Programmeringsgrunder,,Informationsteknologi och informationssystem
2015-09-04,13:00,2015-09-04,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning Programmering,,Informationsteknologi och informationssystem
2015-09-07,08:00,2015-09-07,10:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-07,10:15,2015-09-07,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Typer, variabler och uttryck",,Informationsteknologi och informationssystem
2015-09-07,13:00,2015-09-07,16:00,TIG015GU,,"Förel,Projekt",Torg Grön,"Aida Hadzic,Kalevi Pessi",N1SYS-1-GU,Projektstart,,Informationsteknologi och informationssystem
2015-09-08,08:00,2015-09-08,10:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-08,10:15,2015-09-08,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Kjell Engberg,N1SYS-1-GU,KEkomp,,Informationsteknologi och informationssystem
2015-09-08,13:00,2015-09-08,16:00,TIG015GU,,"Förel,Gästföreläs,Projekt",Torg Grön,,N1SYS-1-GU,Projekt/PPS - Metoden,,Informationsteknologi och informationssystem
2015-09-09,08:00,2015-09-09,10:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning Programmering,,Informationsteknologi och informationssystem
2015-09-09,10:15,2015-09-09,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Lennart Petersson,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-09,13:00,2015-09-09,15:00,TIG015GU,,"Förel,Projekt",Torg Grön,Anna-Lena Fredriksson,N1SYS-1-GU,Referera och citera,,Informationsteknologi och informationssystem
2015-09-11,10:15,2015-09-11,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Block, if, for, while etc.",,Informationsteknologi och informationssystem
2015-09-11,13:00,2015-09-11,15:00,TIG015GU,,"Förel,Projekt",Torg Grön,Kjell Engberg,N1SYS-1-GU,BIS,,Informationsteknologi och informationssystem
2015-09-14,10:15,2015-09-14,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Mer om metoder,,Informationsteknologi och informationssystem
2015-09-14,13:00,2015-09-14,16:00,TIG015GU,,Handl,Torg 3,Henrik Sandklef,N1SYS-1-GU,Handledning Programmering,,Informationsteknologi och informationssystem
2015-09-15,10:15,2015-09-15,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Kjell Engberg,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-15,13:00,2015-09-15,15:00,TIG015GU,,"Förel,Projekt",Torg Grön,Anna-Lena Fredriksson,N1SYS-1-GU,Muntlig presentationsteknik,,Informationsteknologi och informationssystem
2015-09-15,23:30,2015-09-16,00:00,TIG015GU,,Inlämning,,,N1SYS-1-GU,Senast kl. 23:59,,Informationsteknologi och informationssystem
2015-09-16,10:15,2015-09-16,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Lennart Petersson,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-16,13:00,2015-09-16,17:00,TIG015GU,,Handl,Torg Grön,"Aida Hadzic,Henrik Sandklef",N1SYS-1-GU,"Handledning Program, projekt",,Informationsteknologi och informationssystem
2015-09-17,10:15,2015-09-17,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Aida Hadzic,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-17,13:00,2015-09-17,17:00,TIG015GU,,Handl,,Aida Hadzic,N1SYS-1-GU,Aidas kontor,,Informationsteknologi och informationssystem
2015-09-18,10:15,2015-09-18,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Programmering, problemlösning",,Informationsteknologi och informationssystem
2015-09-18,13:00,2015-09-18,17:00,TIG015GU,,Handl,Torg Grön,"Aida Hadzic,Henrik Sandklef",N1SYS-1-GU,"Programmering, Projekt",,Informationsteknologi och informationssystem
2015-09-21,10:15,2015-09-21,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,"Objektorientering, Java",,Informationsteknologi och informationssystem
2015-09-21,13:00,2015-09-21,15:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-09-22,10:15,2015-09-22,12:00,TIG015GU,,"Förel,Projekt",Torg Grön,Kalevi Pessi,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-23,09:00,2015-09-23,16:00,TIG015GU,,Semin,Thanos,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,Styrgruppsmöte 1,,Informationsteknologi och informationssystem
2015-09-24,09:00,2015-09-24,16:00,TIG015GU,,Semin,Thanos,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,Styrgruppsmöte 1,,Informationsteknologi och informationssystem
2015-09-25,10:15,2015-09-25,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Genomgång av enkla spel,,Informationsteknologi och informationssystem
2015-09-25,13:00,2015-09-25,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-09-28,10:15,2015-09-28,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-09-28,13:00,2015-09-28,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-09-29,10:00,2015-09-29,16:00,TIG015GU,,Handl,,Aida Hadzic,N1SYS-1-GU,Aidas kontor,,Informationsteknologi och informationssystem
2015-09-30,10:00,2015-09-30,16:00,TIG015GU,,Handl,,Aida Hadzic,N1SYS-1-GU,Aidas kontor,,Informationsteknologi och informationssystem
2015-10-01,10:15,2015-10-01,12:00,TIG015GU,,"Förel,Gästföreläs,Projekt",Torg Grön,,N1SYS-1-GU,Projekt/ Volvo IT,,Informationsteknologi och informationssystem
2015-10-02,10:15,2015-10-02,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Lägga till egna objekt i spel,,Informationsteknologi och informationssystem
2015-10-02,13:00,2015-10-02,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-10-02,23:30,2015-10-03,00:00,TIG015GU,,Inlämning,,,N1SYS-1-GU,Senast 23:59,,Informationsteknologi och informationssystem
2015-10-05,10:15,2015-10-05,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Arv- teori,,Informationsteknologi och informationssystem
2015-10-05,13:00,2015-10-05,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-10-07,09:00,2015-10-07,16:00,TIG015GU,,Semin,Thanos,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,Styrgruppsmöte 2,,Informationsteknologi och informationssystem
2015-10-08,09:00,2015-10-08,16:00,TIG015GU,,Semin,Thanos,"Aida Hadzic,Anna-Lena Fredriksson,Kalevi Pessi",N1SYS-1-GU,Styrgruppsmöte 2,,Informationsteknologi och informationssystem
2015-10-09,10:15,2015-10-09,12:00,TIG015GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,Uppfylla förväntningar,,Informationsteknologi och informationssystem
2015-10-09,13:00,2015-10-09,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-10-12,10:15,2015-10-12,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Interface- teori,,Informationsteknologi och informationssystem
2015-10-12,13:00,2015-10-12,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-10-14,09:00,2015-10-14,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-10-16,10:15,2015-10-16,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Sammanfattning,,Informationsteknologi och informationssystem
2015-10-16,13:00,2015-10-16,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-10-19,10:15,2015-10-19,12:00,TIG015GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Informationsteknologi och informationssystem
2015-10-19,13:00,2015-10-19,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-10-21,09:00,2015-10-21,16:00,TIG015GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Handledning programmering,,Informationsteknologi och informationssystem
2015-10-22,23:30,2015-10-23,00:00,TIG015GU,,Inlämning,,,N1SYS-1-GU,Senast 23:59,,Informationsteknologi och informationssystem
2015-10-27,09:00,2015-10-27,16:00,TIG015GU,,Workshop,Torg Grön,"Alan Carlson,Henrik Sandklef,Lennart Petersson",N1SYS-1-GU,Systemtest,,Informationsteknologi och informationssystem
2015-10-28,09:00,2015-10-28,16:00,TIG015GU,,Workshop,Torg Grön,"Alan Carlson,Henrik Sandklef",N1SYS-1-GU,Systemtest,,Informationsteknologi och informationssystem
