"TIG015, Informationsteknologi och informationssystem, DAG, HT2019, ORD, NML, GÖTEBORG",2019-09-02 - 2020-03-02,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2019-09-02,13:00,2019-09-02,14:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Aida Hadzic Zukic, Henrik Sandklef, Kalevi Pessi, Rikard Fröberg",Introduktion,Kursintroduktion TIG015,Introduktion till de två kursdelarna,,,
2019-09-02,14:00,2019-09-02,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Kalevi Pessi,"Föreläsning, Projektarbete",Föreläsing BIS/Projekt,"Information, Verksamhet och IS",,"BIS Kap 1, 2 och 6",
2019-09-03,10:15,2019-09-03,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Aida Hadzic Zukic, Kalevi Pessi","Föreläsning, Projektarbete",,Projektstyrning,,BIS Kap 9,
2019-09-04,10:15,2019-09-04,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Aida Hadzic Zukic,"Föreläsning, Projektarbete",Projektstart,Projektstart,,,
2019-09-05,10:00,2019-09-05,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2019-09-05,13:00,2019-09-05,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-09-06,10:00,2019-09-06,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2019-09-06,13:00,2019-09-06,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-09-09,10:00,2019-09-09,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-09-09,12:45,2019-09-09,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,,,,
2019-09-10,10:15,2019-09-10,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Aida Hadzic Zukic, Kalevi Pessi","Föreläsning, Projektarbete",,Förstudie och systemutveckling,,BIS Kap 8 & 10 + Övning,
2019-09-10,13:00,2019-09-10,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),,Föreläsning,Gästföreläsare Apper,Systemutveckling i praktiken,,,
2019-09-11,10:00,2019-09-11,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,,,,
2019-09-11,13:00,2019-09-11,15:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-09-12,10:15,2019-09-12,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Anna-Lena Fredriksson,Föreläsning,rapportskrivning,Generiska färdigheter rapportskrivning,,,
2019-09-12,13:00,2019-09-12,16:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),Gästlärare,Föreläsning,Gästföreläsning Tieto,Projektstyrning  PPS-metoden,,,
2019-09-13,10:00,2019-09-13,12:00,TIG015. Informationsteknologi och informationssystem,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
