
TimeEdit,Chalmers
"Verksamheter och information, TIG016GU",2014-11-03 - 2015-01-18 v 45-3,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Typ,Lokal,Personal,Klass,Egen text,Undergrupp,Kurs 
2014-11-03,08:00,2014-11-03,09:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-03,09:00,2014-11-03,12:00,TIG016GU,,Introd,Torg Grön,"Kjell Engberg,Maria Bergenstjerna",N1SYS-1-GU,Kursintroduktion,,Verksamheter och information
2014-11-03,12:00,2014-11-03,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-03,13:00,2014-11-03,15:00,TIG016GU,,Förel,Torg Grön,"Ellen-Britta Fernell Foufa,Maria Bergenstjerna",N1SYS-1-GU,Studieteknik,,Verksamheter och information
2014-11-03,15:00,2014-11-03,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-04,08:00,2014-11-04,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-05,08:00,2014-11-05,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-05,10:00,2014-11-05,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,J&T,,Verksamheter och information
2014-11-05,12:00,2014-11-05,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-05,13:00,2014-11-05,15:00,TIG016GU,,Handled,Torg Grön,Maria Bergenstjerna,N1SYS-1-GU,Grupparbete,,Verksamheter och information
2014-11-05,15:00,2014-11-05,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-06,08:00,2014-11-06,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-07,08:00,2014-11-07,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-07,10:00,2014-11-07,12:00,TIG016GU,,Förel,Torg Grön,Gäst,N1SYS-1-GU,Gäst: Håkan Enquist,,Verksamheter och information
2014-11-07,12:00,2014-11-07,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-10,08:00,2014-11-10,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-10,10:00,2014-11-10,12:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,J&T: Organisationsstruktur,,Verksamheter och information
2014-11-10,12:00,2014-11-10,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-10,13:00,2014-11-10,15:00,TIG016GU,,Förel,Torg Grön,Maria Bergenstjerna,N1SYS-1-GU,Förändringsanalys,,Verksamheter och information
2014-11-10,15:00,2014-11-10,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-11,08:00,2014-11-11,17:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-12,08:00,2014-11-12,10:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-12,10:00,2014-11-12,12:00,TIG016GU,,Förel,Torg Grön,Kjell Engberg,N1SYS-1-GU,Val av system,,Verksamheter och information
2014-11-12,12:00,2014-11-12,13:00,TIG016GU,,Själv,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2014-11-12,13:00,2014-11-12,15:00,TIG016GU,,Handled,Torg Grön,Maria Bergenstjerna,N1SYS-1-GU,Grupparbete,,Verksamheter och information
