
TimeEdit,Chalmers
"Verksamheter och information, TIG016GU",2015-11-02 - 2016-01-18,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Typ,Lokal,Personal,Klass,Egen text,Undergrupp,Kurs 
2015-11-02,09:00,2015-11-02,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-02,13:00,2015-11-02,15:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-04,10:00,2015-11-04,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-04,13:00,2015-11-04,15:00,TIG016GU,,Förel,Torg Grön,Maria Bergenstjerna,N1SYS-1-GU,,,Verksamheter och information
2015-11-06,09:00,2015-11-06,11:00,TIG016GU,,Förel,Torg Grön,Urban Nulden,N1SYS-1-GU,,,Verksamheter och information
2015-11-09,10:00,2015-11-09,12:00,TIG016GU,,Introd,Torg Grön,,N1SYS-1-GU,grupparbete,,Verksamheter och information
2015-11-09,13:00,2015-11-09,15:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-11,10:00,2015-11-11,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-11,13:00,2015-11-11,15:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-13,10:00,2015-11-13,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-16,10:00,2015-11-16,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-16,13:00,2015-11-16,15:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-18,10:00,2015-11-18,12:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-18,13:00,2015-11-18,15:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-20,10:00,2015-11-20,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-23,10:00,2015-11-23,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-23,13:00,2015-11-23,15:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-25,10:00,2015-11-25,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-25,13:00,2015-11-25,15:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-27,10:00,2015-11-27,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-30,10:00,2015-11-30,12:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-11-30,13:00,2015-11-30,15:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-02,10:00,2015-12-02,12:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-02,13:00,2015-12-02,15:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-04,08:00,2015-12-04,10:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-04,10:00,2015-12-04,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-07,10:00,2015-12-07,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-07,13:00,2015-12-07,15:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-10,10:00,2015-12-10,12:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-10,13:00,2015-12-10,15:00,TIG016GU,,Förel,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-11,08:00,2015-12-11,10:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-11,10:00,2015-12-11,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-14,10:00,2015-12-14,12:00,TIG016GU,,Semin,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-14,13:00,2015-12-14,15:00,TIG016GU,,Handl,"Piazza,Torg 3",,N1SYS-1-GU,,,Verksamheter och information
2015-12-16,10:00,2015-12-16,12:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-16,13:00,2015-12-16,15:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-18,09:00,2015-12-18,11:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Verksamheter och information
2015-12-18,11:00,2015-12-18,12:00,TIG016GU,,Handl,Torg Grön,,N1SYS-1-GU,Inför tentan,,Verksamheter och information
2016-01-11,08:00,2016-01-11,17:00,TIG016GU,,Examin,Torg Grön,Maria Bergenstjerna,N1SYS-1-GU,,,Verksamheter och information
2016-01-12,08:00,2016-01-12,17:00,TIG016GU,,Examin,Torg Grön,Maria Bergenstjerna,N1SYS-1-GU,,,Verksamheter och information
2016-01-14,14:00,2016-01-14,18:00,TIG016GU,,Tentamen,,,N1SYS-1-GU,,,Verksamheter och information
