
TimeEdit,Chalmers
"Programmeringsteknik och databaser, TIG058GU",2016-01-18 - 2016-03-27 v 3-12,
Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Typ,Lokal,Personal,Klass,Egen text,Undergrupp,Kurs 
2016-01-18,10:00,2016-01-18,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,Java F. 1 (Rep.),,Programmeringsteknik och databaser
2016-01-21,10:00,2016-01-21,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,Java F. 2 (Rep.),,Programmeringsteknik och databaser
2016-01-25,10:00,2016-01-25,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,Java F. 3,,Programmeringsteknik och databaser
2016-01-26,10:00,2016-01-26,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,DB F. 1,,Programmeringsteknik och databaser
2016-01-27,10:00,2016-01-27,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,Java F. 4,,Programmeringsteknik och databaser
2016-01-27,13:00,2016-01-27,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-01-29,10:00,2016-01-29,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-01,10:00,2016-02-01,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,DB F. 2,,Programmeringsteknik och databaser
2016-02-02,10:00,2016-02-02,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,Java F. 5,,Programmeringsteknik och databaser
2016-02-03,10:00,2016-02-03,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,DB F. 3,,Programmeringsteknik och databaser
2016-02-03,13:00,2016-02-03,15:00,TIG058GU,,Workshop,Torg Grön,Alan Carlson,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-04,10:00,2016-02-04,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,Java F.6,,Programmeringsteknik och databaser
2016-02-04,13:00,2016-02-04,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-05,10:00,2016-02-05,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-08,10:00,2016-02-08,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,Java F. 7,,Programmeringsteknik och databaser
2016-02-08,13:00,2016-02-08,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-09,10:00,2016-02-09,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,DB F. 4,,Programmeringsteknik och databaser
2016-02-10,10:00,2016-02-10,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,Java F. 8,,Programmeringsteknik och databaser
2016-02-10,13:00,2016-02-10,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-11,10:00,2016-02-11,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,DB F6,,Programmeringsteknik och databaser
2016-02-11,13:00,2016-02-11,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-15,10:00,2016-02-15,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,Java F. 9,,Programmeringsteknik och databaser
2016-02-15,13:00,2016-02-15,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-16,10:00,2016-02-16,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-16,13:00,2016-02-16,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-17,10:00,2016-02-17,12:00,TIG058GU,,Förel,Torg Grön,Alan Carlson,N1SYS-1-GU,DB F. 6,,Programmeringsteknik och databaser
2016-02-17,13:00,2016-02-17,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-18,10:00,2016-02-18,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-18,13:00,2016-02-18,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-19,10:00,2016-02-19,12:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-22,10:00,2016-02-22,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,DB F. 7,,Programmeringsteknik och databaser
2016-02-22,13:00,2016-02-22,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
2016-02-23,09:00,2016-02-23,17:00,TIG058GU,,"Handl,pres",,,N1SYS-1-GU,SYSTEMTEST (Inl.uppg. 1),,Programmeringsteknik och databaser
2016-02-24,09:00,2016-02-24,17:00,TIG058GU,,"Handl,pres",,,N1SYS-1-GU,SYSTEMTEST (Inl.uppg. 1),,Programmeringsteknik och databaser
2016-02-25,10:00,2016-02-25,12:00,TIG058GU,,Förel,Torg Grön,,N1SYS-1-GU,Java JDBC 1,,Programmeringsteknik och databaser
2016-02-25,13:00,2016-02-25,15:00,TIG058GU,,Handl,Torg Grön,,N1SYS-1-GU,,,Programmeringsteknik och databaser
