Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2019-01-21,10:00,2019-01-21,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg","Föreläsning, Introduktion",,Databas - Introduction,,,
2019-01-22,10:00,2019-01-22,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,Java - Introduction I,,,
2019-01-22,13:00,2019-01-22,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,Java - Introduction II,,,
2019-01-23,10:00,2019-01-23,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,Databas - SELECT and bash,,,
2019-01-23,13:00,2019-01-23,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Handledning,,,,,
2019-01-24,09:00,2019-01-24,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-01-24,13:00,2019-01-24,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-01-25,09:00,2019-01-25,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-01-25,13:00,2019-01-25,16:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),,Projektarbete,,,,,
2019-01-28,10:00,2019-01-28,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Föreläsning,,Databas - UPDATE & DELETE,,,
2019-01-29,10:00,2019-01-29,12:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,Java - Hur fungerar servleten I,,,
2019-01-29,13:00,2019-01-29,15:00,TIG058. Programmeringsteknik och databaser,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Workshop,,Java - Hur fungerar servleten II,,,
