Startdatum,Starttid,Slutdatum,Sluttid,Kurs,"Grupp,Undergrupp,Basgrupp",Del av kurs,Lokal,Lärare,Undervisningstyp,Rubrik,Kommentar,Länk,Läsanvisningar,Persongrupp 
2019-03-29,10:00,2019-03-29,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Alan Said,Föreläsning,,,,,
2019-04-03,13:00,2019-04-03,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Alan Said,Föreläsning,,,,,
2019-04-04,10:00,2019-04-04,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Alan Said,Föreläsning,,,,,
2019-04-06,00:00,2019-04-07,00:00,Högskoleprovet,,,,,,,,,,
2019-04-10,10:00,2019-04-10,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Alan Said,Föreläsning,,,,,
2019-04-11,10:00,2019-04-11,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Alan Said,Föreläsning,,,,,
2019-04-14,11:45,2019-04-14,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,,Anmälan,Påminnelse,Deadline för anmälan till omtentan den 24 april,,,
2019-04-24,12:00,2019-04-24,16:30,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,Alan Said,Digital tentamen,Salstentamen,"Digital tentamen på Viktoriagatan 30, anmälan via Ladok.",,,
2019-04-29,10:00,2019-04-29,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Anna-Lena Fredriksson,Föreläsning,,,,,
2019-04-30,13:00,2019-04-30,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Erik Stemme (339B),Alan Said,Handledning,,,,,
2019-04-30,13:00,2019-04-30,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Grace Hopper (323A),Alan Said,Handledning,,,,,
2019-04-30,13:00,2019-04-30,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,USB (433),Alan Said,Handledning,,,,,
2019-05-01,00:00,2019-05-02,00:00,Första maj,,,,,,,,,,
2019-05-02,10:00,2019-05-02,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Övning,Programmeringsövning,,,,
2019-05-02,13:00,2019-05-02,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Övning,Programmeringsövning,,,,
2019-05-03,10:00,2019-05-03,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Övning,Programmeringsövning,,,,
2019-05-03,13:00,2019-05-03,15:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),"Henrik Sandklef, Rikard Fröberg",Övning,Programmeringsövning,,,,
2019-05-08,13:00,2019-05-08,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Erik Stemme (339B),Alan Said,Handledning,,,,,
2019-05-08,13:00,2019-05-08,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Grace Hopper (323A),Alan Said,Handledning,,,,,
2019-05-08,13:00,2019-05-08,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,USB (433),Alan Said,Handledning,,,,,
2019-05-15,10:00,2019-05-15,12:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Torg Grön (405),Anna-Lena Fredriksson,Föreläsning,,,,,
2019-05-16,13:00,2019-05-16,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Erik Stemme (339B),Alan Said,Handledning,,,,,
2019-05-16,13:00,2019-05-16,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Grace Hopper (323A),Alan Said,Handledning,,,,,
2019-05-16,13:00,2019-05-16,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,USB (433),Alan Said,Handledning,,,,,
2019-05-19,12:45,2019-05-19,13:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,,,Anmälan,Påminnelse,Deadline för anmälan till omtentan den 28 maj,,,
2019-05-23,09:00,2019-05-23,11:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,"Grace Hopper (323A), Torg Grön (405)",Anna-Lena Fredriksson,Seminarium,Responstillfälle,,,,
2019-05-23,13:00,2019-05-23,16:00,TIG059. Systemutvecklingsprojekt,Systemvetenskap år 1,,Erik Stemme (339B),Alan Said,Handledning,,,,,
