Startdatum,Starttid,Slutdatum,Sluttid,Kurs,Omgång,Undervisningstyp,Lokal,Lärare,Klass,Egentext,Undergrupp,Kurs 
2017-03-30,10:00,2017-03-30,12:00,TIG059GU,,Introd,Torg Grön,"Anna-Lena Fredriksson,Juho Lindman",N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-03-30,13:00,2017-03-30,15:00,TIG059GU,,Förel,Torg Grön,Juho Lindman,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-03-31,10:00,2017-03-31,12:00,TIG059GU,,Förel,Torg Grön,Juho Lindman,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-03,10:00,2017-04-03,12:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Alla med i en grupp,,Systemutvecklingsprojekt
2017-04-03,13:00,2017-04-03,15:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Mottagning,,Systemutvecklingsprojekt
2017-04-04,10:00,2017-04-04,11:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-04-04,11:00,2017-04-04,12:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 11-20,,Systemutvecklingsprojekt
2017-04-04,14:45,2017-04-04,15:00,TIG059GU,,Inlämning,,,N1SYS-1-GU,Deadline kl. 15:00,,Systemutvecklingsprojekt
2017-04-05,13:00,2017-04-05,16:00,TIG059GU,,Förel,"Torg Blå,Torg Grön",Anna-Lena Fredriksson,N1SYS-1-GU,Genreanalys- diagnostiskt test,,Systemutvecklingsprojekt
2017-04-06,10:00,2017-04-06,12:00,TIG059GU,,Projekt,Torg Grön,Juho Lindman,N1SYS-1-GU,Redovisa målformulering,,Systemutvecklingsprojekt
2017-04-06,13:00,2017-04-06,16:00,TIG059GU,,Förel,Torg Grön,Anna-Lena Fredriksson,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-07,10:00,2017-04-07,12:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-07,13:00,2017-04-07,15:00,TIG059GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Mottagning,,Systemutvecklingsprojekt
2017-04-10,10:00,2017-04-10,12:00,TIG059GU,,Förel,Torg Grön,Juho Lindman,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-11,10:00,2017-04-11,11:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-04-11,11:00,2017-04-11,12:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 11-20,,Systemutvecklingsprojekt
2017-04-12,10:00,2017-04-12,12:00,TIG059GU,,Projekt,Torg Grön,Juho Lindman,N1SYS-1-GU,Uppföljning av delmål,,Systemutvecklingsprojekt
2017-04-13,10:00,2017-04-13,11:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-04-13,11:00,2017-04-13,12:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-04-18,10:00,2017-04-18,12:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-18,13:00,2017-04-18,15:00,TIG059GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Mottagning,,Systemutvecklingsprojekt
2017-04-19,10:00,2017-04-19,11:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-04-19,11:00,2017-04-19,12:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 11-20,,Systemutvecklingsprojekt
2017-04-20,09:00,2017-04-20,11:00,TIG059GU,,Förel,Torg Orange,Henrik Sandklef,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-21,10:00,2017-04-21,12:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-21,13:00,2017-04-21,15:00,TIG059GU,,Gästföreläs,Torg Grön,,N1SYS-1-GU,Fredrik Wendt om SCRUM,,Systemutvecklingsprojekt
2017-04-24,10:00,2017-04-24,12:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-24,13:00,2017-04-24,15:00,TIG059GU,,Projekt,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Mottagning,,Systemutvecklingsprojekt
2017-04-26,10:00,2017-04-26,12:00,TIG059GU,,Projekt,Torg Grön,Juho Lindman,N1SYS-1-GU,Redovisning delmål,,Systemutvecklingsprojekt
2017-04-26,13:00,2017-04-26,15:00,TIG059GU,,Förel,Torg Grön,Anna-Lena Fredriksson,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-27,10:00,2017-04-27,12:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-04-27,13:00,2017-04-27,15:00,TIG059GU,,Projekt,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Mottagning,,Systemutvecklingsprojekt
2017-05-02,10:00,2017-05-02,12:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-05-02,13:00,2017-05-02,15:00,TIG059GU,,Projekt,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Mottagning,,Systemutvecklingsprojekt
2017-05-03,10:00,2017-05-03,11:00,TIG059GU,,Handl,Torg Grön,"Henrik Sandklef,Juho Lindman",N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-05-03,11:00,2017-05-03,12:00,TIG059GU,,Handl,Torg Grön,"Henrik Sandklef,Juho Lindman",N1SYS-1-GU,Grupp 11-20,,Systemutvecklingsprojekt
2017-05-04,10:00,2017-05-04,12:00,TIG059GU,,Förel,Torg Grön,Henrik Sandklef,N1SYS-1-GU,,,Systemutvecklingsprojekt
2017-05-04,13:00,2017-05-04,15:00,TIG059GU,,Projekt,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Mottagning,,Systemutvecklingsprojekt
2017-05-05,10:00,2017-05-05,11:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-05-05,11:00,2017-05-05,12:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 11-20,,Systemutvecklingsprojekt
2017-05-08,16:45,2017-05-08,17:00,TIG059GU,,Inlämning,,,N1SYS-1-GU,Deadline 17:00,,Systemutvecklingsprojekt
2017-05-09,10:00,2017-05-09,11:00,TIG059GU,,Handl,Torg Grön,"Henrik Sandklef,Juho Lindman",N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-05-09,11:00,2017-05-09,12:00,TIG059GU,,Handl,Torg Grön,"Henrik Sandklef,Juho Lindman",N1SYS-1-GU,Grupp 11-20,,Systemutvecklingsprojekt
2017-05-10,10:00,2017-05-10,12:00,TIG059GU,,Projekt,Torg Grön,Juho Lindman,N1SYS-1-GU,Uppföljning av senaste delmål,,Systemutvecklingsprojekt
2017-05-11,10:00,2017-05-11,12:00,TIG059GU,,Semin,"Torg Grön,Torg Orange",Anna-Lena Fredriksson,N1SYS-1-GU,Obligatorisk uppgift,,Systemutvecklingsprojekt
2017-05-15,16:45,2017-05-15,17:00,TIG059GU,,Inlämning,,,N1SYS-1-GU,Deadline senast 17:00,,Systemutvecklingsprojekt
2017-05-16,10:00,2017-05-16,11:00,TIG059GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-05-16,11:00,2017-05-16,12:00,TIG059GU,,Handl,Torg Grön,Henrik Sandklef,N1SYS-1-GU,Grupp 11-20,,Systemutvecklingsprojekt
2017-05-23,13:00,2017-05-23,14:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 1-10,,Systemutvecklingsprojekt
2017-05-23,14:00,2017-05-23,15:00,TIG059GU,,Handl,Torg Grön,Juho Lindman,N1SYS-1-GU,Grupp 11-20,,Systemutvecklingsprojekt
2017-05-26,16:45,2017-05-26,17:00,TIG059GU,,Inlämning,,,N1SYS-1-GU,Deadline senast 17:00,,Systemutvecklingsprojekt
2017-05-29,09:00,2017-05-29,12:00,TIG059GU,,Redovisning,Torg Grön,"Henrik Sandklef,Juho Lindman",N1SYS-1-GU,,,Systemutvecklingsprojekt
